internal_id,lichess_game_id,move_number,lichess_url,fen,best_move,difficulty,initiative,development,endgame,space,trading,prophylaxis,coordination,exploitingweakness,kingsafety,restriction,fixingstructure,centrecontrol,other,side_to_move
31313,00gH3zId,22,https://lichess.org/00gH3zId#22,r2qk2r/ppp3p1/3ppn1p/4b1B1/4P3/2P5/PP1N1PPP/R2Q1RK1 w kq - 0 12,g5e3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,w
31315,WVl87lz7,38,https://lichess.org/WVl87lz7#38,1rb2rk1/pp1pqppp/8/2pQn3/4P3/1R6/P1PBBPPP/5RK1 w - - 2 20,f2f4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,w
31316,jrW29P5V,14,https://lichess.org/jrW29P5V#14,r2qkb1r/pp2pppp/1nnp4/5b2/2PP4/2N2N2/PP3PPP/R1BQKB1R w KQkq - 1 8,d4d5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,w
31317,9vKeKy77,16,https://lichess.org/9vKeKy77#16,r2qkb1r/pp1n1ppp/2p1pn2/3p4/3PP3/2NB1Q2/PPP2PPP/R1B2RK1 w kq - 1 9,e4e5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,w
31318,xE6gxai6,24,https://lichess.org/xE6gxai6#24,rn2kbnr/pp3ppp/2p5/8/2PpP3/2NB1P2/PP1B1P1P/2KR3R w kq - 0 13,c3e2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,w
31319,gqhIcsY2,48,https://lichess.org/gqhIcsY2#48,4r1k1/1bqn2bp/1p2p3/pP1pPp2/P1pN4/2P3B1/3NQ1PP/5R1K w - - 4 25,e2h5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,w
31320,ogH8bapx,23,https://lichess.org/ogH8bapx#23,rnbq2k1/pp2b1pp/3p4/2pQ4/4P3/8/PPP2PPP/R1B1K2R b KQ - 0 12,g8h8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,b
31321,hK9aSNbM,20,https://lichess.org/hK9aSNbM#20,r2qk1nr/p2b1ppp/4p3/2bpP3/8/3B4/PP3PPP/RNBQ1RK1 w kq - 2 11,d1g4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,w
31323,s8B5GVqV,16,https://lichess.org/s8B5GVqV#16,r2qk2r/ppp1bppp/2np1n2/8/3P4/1PN5/P1P1BPPP/R1BQ1RK1 w kq - 1 9,d4d5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,w
31326,Gl9LPkeC,15,https://lichess.org/Gl9LPkeC#15,r2qk2r/pppbbppp/2np1n2/4p3/2B1P3/2NPQP2/PPPB2PP/R3K1NR b KQkq - 2 8,c6d4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,b
31328,YSavVaBt,18,https://lichess.org/YSavVaBt#18,r1bq1rk1/pp1n1pbp/2p1pnp1/3p4/4P3/3P1NP1/PPP2PBP/R1BQRNK1 w - - 2 10,e4e5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,w
31330,SMVWfX3B,29,https://lichess.org/SMVWfX3B#29,r4rk1/pp1nn1pp/1q1p1p2/3Pp3/2P5/4PN2/PP1QB1PP/3R1RK1 b - c3 0 15,e7f5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,b
31333,MzP9pNbv,51,https://lichess.org/MzP9pNbv#51,3r4/4kppp/p3pb2/1p6/1P1P4/P3BP1P/4KP2/2R5 b - - 0 26,e7d7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,b
31340,Aek0FY1Y,35,https://lichess.org/Aek0FY1Y#35,rn5r/pp1n3p/4k3/2b3Bp/8/2P5/PP3PPP/RN2R1K1 b - - 1 18,e6f5,2,1,0,1,0,0,0,0,0,0,0,0,0,0,b
31342,MZqQ3nhp,64,https://lichess.org/MZqQ3nhp#64,6k1/1pR2p1p/4p1p1/pP2P3/r4P2/2P3PK/7P/8 w - - 0 33,h3g2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,w
31344,MjATXKEw,27,https://lichess.org/MjATXKEw#27,r1bqr1k1/pp3pbp/2n2np1/3p4/7B/2P1PN2/PPB1N1PP/R2Q1RK1 b - - 0 14,d8b6,1,0,0,0,0,0,0,1,1,0,0,0,0,0,b
31347,uAwR9l2o,15,https://lichess.org/uAwR9l2o#15,r1bqk2r/pp3pbp/2n2np1/2ppp3/4P3/2NP1PN1/PPP1B1PP/R1BQK2R b KQkq - 0 8,d5d4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,b
31348,WPBfiFZ2,36,https://lichess.org/WPBfiFZ2#36,r1bq1r1k/p5pp/3p4/2p2p2/2B1Pn2/2P2N1P/PP3PP1/R2QR1K1 w - - 0 19,e4e5,2,1,0,0,0,0,0,0,0,0,0,1,0,0,w
31349,d2hf6MP1,12,https://lichess.org/d2hf6MP1#12,r1bqk2r/pp1nbppp/2p1pn2/3p4/3PP3/2NB1N2/PPP2PPP/R1BQK2R w KQkq - 1 7,e4e5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,w
31352,TVKN8Mk0,20,https://lichess.org/TVKN8Mk0#20,r1bqk2r/pp2npbp/4pp2/2Pp3P/1PP2P2/4P3/P5P1/RN1QKBNR w KQkq - 1 11,h5h6,2,0,0,0,1,0,0,0,0,0,1,0,0,0,w
