internal_id,lichess_game_id,move_number,lichess_url,fen,best_move,useful,difficulty,initiative,development,endgame,space,trading,prophylaxis,coordination,exploitingweakness,kingsafety,restriction,fixingstructure,centrecontrol,other,side_to_move,pre_move_final_eval,pre_move_psqtmat,pre_move_material_imbalance,pre_move_positional_imbalance,pre_move_closedness,pre_move_complexity,pre_move_big_center_white,big_center_black,big_center_contested,big_center_uncontrolled,pre_move_center_white,center_black,center_contested,center_uncontrolled,pre_move_white_pawns,pre_move_white_pawns_and_king_safety_with_king_and_pawns,pre_move_white_pawns_and_king_safety_without_king_and_pawns,pre_move_white_pawns_and_king_evaluation_with_king_and_pawns,pre_move_white_pawns_and_king_evaluation_without_king_and_pawns,pre_move_white_knights,pre_move_white_bishops,pre_move_white_rooks,pre_move_white_queens,pre_move_white_kings,pre_move_white_passed,pre_move_white_threats,pre_move_white_space,pre_move_white_safe_space,pre_move_black_pawns,pre_move_black_pawns_and_king_safety_with_king_and_pawns,pre_move_black_pawns_and_king_safety_without_king_and_pawns,pre_move_black_pawns_and_king_evaluation_with_king_and_pawns,pre_move_black_pawns_and_king_evaluation_without_king_and_pawns,pre_move_black_knights,pre_move_black_bishops,pre_move_black_rooks,pre_move_black_queens,pre_move_black_kings,pre_move_black_passed,pre_move_black_threats,pre_move_black_space,pre_move_black_safe_space,post_move_final_eval,post_move_psqtmat,post_move_material_imbalance,post_move_positional_imbalance,post_move_closedness,post_move_complexity,post_move_big_center_white,big_center_black,big_center_contested,big_center_uncontrolled,post_move_center_white,center_black,center_contested,center_uncontrolled,post_move_white_pawns,post_move_white_pawns_and_king_safety_with_king_and_pawns,post_move_white_pawns_and_king_safety_without_king_and_pawns,post_move_white_pawns_and_king_evaluation_with_king_and_pawns,post_move_white_pawns_and_king_evaluation_without_king_and_pawns,post_move_white_knights,post_move_white_bishops,post_move_white_rooks,post_move_white_queens,post_move_white_kings,post_move_white_passed,post_move_white_threats,post_move_white_space,post_move_white_safe_space,post_move_black_pawns,post_move_black_pawns_and_king_safety_with_king_and_pawns,post_move_black_pawns_and_king_safety_without_king_and_pawns,post_move_black_pawns_and_king_evaluation_with_king_and_pawns,post_move_black_pawns_and_king_evaluation_without_king_and_pawns,post_move_black_knights,post_move_black_bishops,post_move_black_rooks,post_move_black_queens,post_move_black_kings,post_move_black_passed,post_move_black_threats,post_move_black_space,post_move_black_safe_space
31250,BABgo3X8,12,https://lichess.org/BABgo3X8#12,r2qkbnr/1p2pppp/p1np4/2p4b/4P3/2NPBN1P/PPP2PP1/R2QKB1R w KQkq - 0 7,g2g4,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,w,113,22,0,22,0,0,24,12,12,0,16,0,16,0,0,-3, 0,160, 68,41,32,-20,-20,32,0,-10,16,24,0,-4, 0,123, 54,41,-6,-37,10,21,0,0,8,20,192,11,0,11,0,0,27,12,9,0,16,0,16,0,0,-3, 0,154, 62,41,42,-20,2,32,0,0,19,32,0,-4, 0,123, 54,41,-6,-37,10,21,0,-55,12,20
31251,uNwcCteT,35,https://lichess.org/uNwcCteT#35,r3k2r/p1pp3p/1p2p1p1/3qRp2/5P2/1P1P4/P1P3PP/R2Q3K b kq - 1 18,d5d4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,b,1,-27,-68,50,0,-15,4,8,16,6,0,6,18,0,0,16, 0,45, 27,0,0,5,29,-6,0,10,-3,21,0,14, 0,88, 47,0,0,-23,22,1,0,-25,-6,26,-102,-23,-68,52,0,-15,2,10,18,4,0,6,18,6,0,16, 0,45, 27,0,0,16,22,-6,0,-40,-6,21,0,14, 0,88, 47,0,0,-23,34,1,0,20,-6,26
31252,uHutnbYB,34,https://lichess.org/uHutnbYB#34,r2r2k1/1bp2pbp/ppn1p1p1/4P1PP/5B2/2P2N2/PPKN1P2/3R3R w - - 1 18,h5h6,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,w,0,-23,-13,0,14,15,10,8,8,1,5,5,11,0,0,8, 0,91, 42,53,-19,80,0,9,0,22,10,35,0,18, 0,96, 33,19,69,68,0,15,0,0,6,16,86,-15,-13,4,14,15,10,8,8,1,5,5,11,0,0,8, 0,104, 55,53,-31,80,0,9,0,0,10,35,0,19, 0,88, 33,19,58,68,0,15,0,-77,3,16
31253,lfKNZYp3,30,https://lichess.org/lfKNZYp3#30,r2q1r2/p4pk1/2p2n1p/1pb3p1/4P3/1BP2Q2/PP3PPP/RN3RK1 w - - 0 16,e4e5,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,w,59,163,76,58,0,-4,7,7,22,7,0,0,21,7,0,9, 0,101, 29,-12,5,-43,28,9,0,17,0,20,0,5, 0,127, 33,31,20,16,28,-7,0,17,-7,30,123,157,76,54,0,-4,12,2,25,5,7,0,21,7,0,9, 0,101, 29,-12,5,-43,28,9,0,0,9,23,0,5, 0,126, 32,38,15,16,28,-7,0,-57,-12,30
31254,Yol2oSjq,16,https://lichess.org/Yol2oSjq#16,r3kb1r/pp3ppp/1qn1pn2/1B1pNb2/3P1B2/2N5/PPP2PPP/R2QK2R w KQkq - 4 9,g2g4,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,w,-53,30,0,30,0,0,12,12,24,3,0,0,32,0,0,-2, 0,76, 22,33,39,-22,10,-17,0,-28,-12,24,0,1, 0,109, 53,49,38,-22,8,6,0,-10,4,24,-4,19,0,19,0,0,12,9,27,3,0,0,32,0,0,-2, 0,65, 11,33,39,-22,8,-17,0,-28,-12,32,0,1, 0,109, 53,41,38,-22,8,6,0,-72,1,24
31255,elY3BJLG,78,https://lichess.org/elY3BJLG#78,8/r6p/6pk/8/2RP2P1/8/P6P/7K w - - 1 40,a2a4,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,w,192,255,44,-1,0,-22,3,0,0,5,6,0,0,6,0,48, 0,-35, -26,0,0,67,0,-1,65,-33,0,4,0,7, 0,45, -1,0,0,73,0,5,0,0,0,2,260,263,44,0,0,-22,3,0,0,5,6,0,0,6,0,48, 0,-35, -26,0,0,67,0,-1,83,0,0,6,0,7, 0,45, -1,0,0,64,0,5,0,0,0,2
31256,nAlAyyEX,47,https://lichess.org/nAlAyyEX#47,2r2rk1/1b3pp1/p1q2b1N/1p1pp3/7P/1BP2P2/PP3PQ1/4RK1R b - - 0 24,g8h8,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,b,-241,-49,-15,-25,4,-3,7,15,15,2,0,0,28,0,0,2, 0,7, 10,7,5,6,13,1,0,-59,-10,20,0,4, 0,90, 47,0,63,21,28,-30,0,0,11,33,-202,-62,-15,-36,4,-3,7,15,15,2,0,0,28,0,0,2, 0,7, 10,7,5,6,13,1,0,-59,-6,20,0,2, 0,35, 47,0,63,27,28,-30,0,0,11,36
31257,H06Rf85d,67,https://lichess.org/H06Rf85d#67,6k1/4R3/1p1rp1p1/p3b3/4P3/5B1P/P7/7K b - - 3 34,g8f8,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,b,-153,-128,-25,-6,0,10,1,6,2,3,3,6,3,3,0,1, 0,-18, -29,0,2,56,0,3,0,0,-2,5,0,-11, 0,15, -16,0,40,43,0,-3,0,0,0,8,-164,-140,-25,-9,0,10,1,6,2,3,3,6,3,3,0,1, 0,-18, -29,0,2,56,0,3,0,-18,-2,5,0,-4, 0,-9, -16,0,40,43,0,3,0,0,0,9
31258,34ZnoR7j,35,https://lichess.org/34ZnoR7j#35,1r3rk1/1bpq1pb1/pp1pp1pp/n7/2P1P3/3PBNP1/3Q1PBP/1R3RK1 b - - 1 18,g8h7,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,b,-136,-126,-159,43,0,-3,11,11,22,0,0,0,30,0,0,-1, 0,108, 37,12,58,9,20,29,0,0,7,25,0,-1, 0,159, 89,-14,113,-13,16,19,0,-7,0,29,-98,-105,-159,62,0,-3,11,11,22,0,0,0,30,0,0,-1, 0,108, 37,12,58,9,20,29,0,0,3,25,0,2, 0,131, 89,-14,113,16,16,-2,-1,-7,0,29
31259,3DAkZyP7,19,https://lichess.org/3DAkZyP7#19,rn2k1nr/ppp2ppp/8/3PP3/5Bb1/2N3P1/PPP1N2q/R2QKB2 b kq - 3 10,g8e7,1,3,0,0,0,0,0,0,0,0,1,0,0,0,1,b,52,-136,-174,54,1,-2,21,5,10,5,29,0,0,0,0,7, 0,115, 114,53,39,-8,-12,-79,0,-27,13,31,0,-1, 0,0, 2,-35,40,-65,-3,-14,0,0,1,7,-21,-146,-174,46,1,-2,18,5,13,5,21,0,7,0,0,7, 0,115, 114,53,39,-8,-12,-79,0,-27,10,31,0,-1, 0,0, 2,-3,40,-46,-3,0,0,0,-2,10
